ferredoxin_locus_tag	ferredoxin_product	ferredoxin_category	representative_related_pathway
Moth_0036	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_0039	conserved hypothetical protein	Hypothetical/Unknown	Ferredoxin
Moth_0061	ferredoxin	Ferredoxin	Ferredoxin
Moth_0153	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_0377	2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate	Carbohydrate Metabolism	Ferredoxin
Moth_0439	Heterodisulfide reductase subunit C-like protein	Miscellaneous	Ferredoxin
Moth_0441	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_0445	Radical SAM	Miscellaneous	Ferredoxin
Moth_0446	Radical SAM	Miscellaneous	Ferredoxin
Moth_0451	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_0505	hypothetical protein	Hypothetical/Unknown	Ferredoxin
Moth_0506	Nitrite and sulphite reductase 4Fe-4S region	Miscellaneous	Ferredoxin
Moth_0507	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_0721	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_0722	Aldehyde ferredoxin oxidoreductase	Ferredoxin	Ferredoxin
Moth_0809	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_0811	heterodisulfide reductase subunit	Miscellaneous	Ferredoxin
Moth_0814	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_0815	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_0819	Glucose-inhibited division protein A	Carbohydrate Metabolism	Ferredoxin
Moth_0931	ferric uptake regulator, Fur family	Regulatory/Signaling	Ferredoxin
Moth_0933	phenylacetate-CoA ligase	Carbohydrate Metabolism	Ferredoxin
Moth_0935	Thiamine pyrophosphate enzyme	Cofactor Metabolism	Ferredoxin
Moth_1037	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1109	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1167	Radical SAM	Miscellaneous	Ferredoxin
Moth_1168	Nitrite and sulphite reductase 4Fe-4S region	Miscellaneous	Ferredoxin
Moth_1170	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1192	zinc-finger protein	Miscellaneous	Ferredoxin
Moth_1194	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1196	heterodisulfide reductase, C subunit	Miscellaneous	Ferredoxin
Moth_1200	Ferredoxin	Ferredoxin	Ferredoxin
Moth_1291	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1292	glutamate synthase (NADPH) GltB2 subunit	Carbohydrate Metabolism	Ferredoxin
Moth_1381	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1383	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1385	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1386	Anaerobic dimethyl sulfoxide reductase, A subunit, DmsA/YnfE	Miscellaneous	Ferredoxin
Moth_1388	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1389	Trimethylamine-N-oxide reductase (cytochrome c)	Energy Metabolism/Electron Transport	Ferredoxin
Moth_1408	Cobyrinic acid a,c-diamide synthase	Carbohydrate Metabolism	Ferredoxin
Moth_1409	Cobyrinic acid a,c-diamide synthase	Carbohydrate Metabolism	Ferredoxin
Moth_1410	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1448	Ribonucleoside-triphosphate reductase, anaerobic-like protein	Miscellaneous	Ferredoxin
Moth_1450	transcriptional regulator, MerR family	Regulatory/Signaling	Ferredoxin
Moth_1452	Protein of unknown function DUF224, cysteine-rich region	Amino Acid Metabolism	Ferredoxin
Moth_1453	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1593	2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate	Carbohydrate Metabolism	Ferredoxin
Moth_1774	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1832	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1883	Ferredoxin hydrogenase	Ferredoxin	Ferredoxin
Moth_1884	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1885	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1886	NADH dehydrogenase subunit E	Cofactor Metabolism	Ferredoxin
Moth_1887	NADH dehydrogenase (quinone)	Cofactor Metabolism	Ferredoxin
Moth_1888	Ferredoxin	Ferredoxin	Ferredoxin
Moth_1889	sigma54 specific transcriptional regulator with PAS sensor, Fis family	Regulatory/Signaling	Ferredoxin
Moth_1890	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1904	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1907	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_1908	respiratory nitrate reductase alpha subunit apoprotein	Miscellaneous	Ferredoxin
Moth_1912	23S rRNA m(5)U-1939 methyltransferase	Wood-Ljungdahl Pathway - Methyl Branch	Ferredoxin
Moth_1983	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_2112	Ferredoxin	Ferredoxin	Ferredoxin
Moth_2192	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_2218	Glycine cleavage H-protein	Amino Acid Metabolism	Ferredoxin
Moth_2219	4Fe-4S ferredoxin, iron-sulfur binding protein	Ferredoxin	Ferredoxin
Moth_2220	conserved hypothetical protein	Hypothetical/Unknown	Ferredoxin
Moth_2277	Thiamine pyrophosphate enzyme	Cofactor Metabolism	Ferredoxin
Moth_2305	conserved hypothetical protein	Hypothetical/Unknown	Ferredoxin
